mirna	target_gene	score
hsa-miR-5010-3p	GABRG1	0.42889148
hsa-miR-4773	DCX	0.42886868
hsa-miR-6504-5p	CACHD1	0.4288681
hsa-miR-101-3p	CSRP2	0.428862
hsa-miR-3143	SOX11	0.4288402
hsa-miR-126-5p	MEX3A	0.4288267
hsa-miR-29c-3p	COL1A2	0.4288244
hsa-miR-338-5p	GATA3	0.42881268
hsa-miR-96-5p	PLOD2	0.4287803
hsa-miR-6728-3p	PLTP	0.42877302
hsa-miR-767-5p	SMAD6	0.42872632
hsa-miR-12136	MEGF11	0.42872515
hsa-miR-25-3p	COL19A1	0.42872366
hsa-miR-302c-3p	RELL1	0.42871985
hsa-miR-98-3p	LHFPL3	0.42867556
hsa-miR-6716-5p	CPED1	0.42866585
hsa-miR-452-5p	TIMP3	0.42860347
hsa-miR-589-3p	NAMPT	0.4285934
hsa-miR-20b-3p	CNTN5	0.42855096
hsa-let-7g-3p	ARHGAP11A	0.42854574
hsa-miR-3671	VGLL3	0.42854425
hsa-miR-7157-5p	GPR85	0.4284959
hsa-miR-10399-5p	CTTNBP2NL	0.42847937
hsa-miR-548g-5p	KCTD8	0.42847866
hsa-miR-92a-3p	PCDH11X	0.42846283
hsa-miR-7152-5p	BACE2	0.42845416
hsa-miR-106b-5p	TGFBR2	0.42841268
hsa-miR-539-5p	NFKBIZ	0.42838538
hsa-miR-27a-3p	RREB1	0.42836434
hsa-miR-144-3p	MAP3K8	0.42836025
hsa-miR-6867-5p	EN2	0.42833942
hsa-miR-4307	TBX4	0.42830285
hsa-miR-30a-5p	ADAMTS9	0.42826346
hsa-miR-561-3p	ATP11C	0.42822635
hsa-miR-4533	ITIH5	0.42822516
hsa-miR-6781-3p	NRP2	0.428211
hsa-miR-6792-3p	VCAN	0.42820436
hsa-miR-27a-3p	SRL	0.4281823
hsa-miR-200c-5p	ATP1A2	0.42815858
hsa-miR-7515	BCAN	0.42811882
hsa-miR-3148	CALCR	0.4281104
hsa-miR-548x-5p	PLXNA4	0.4281063
hsa-miR-450b-3p	PEG10	0.4281022
hsa-miR-4503	ENTPD1	0.42808437
hsa-miR-3682-5p	ZC3HAV1	0.42807993
hsa-miR-548ah-3p	YES1	0.42807835
hsa-miR-4517	SLC7A11	0.42804572
hsa-miR-6781-3p	EMX2	0.42803162
hsa-miR-4488	PDGFB	0.42799675
hsa-miR-876-5p	DBN1	0.42799354
hsa-miR-577	DPP10	0.4279888
hsa-miR-548w	DNAJB4	0.42798445
hsa-miR-30a-5p	PRLR	0.42796785
hsa-miR-6768-5p	ZFHX4	0.42787847
hsa-miR-302a-3p	CDCA7	0.42786455
hsa-miR-5693	GPC5	0.42786032
hsa-miR-5195-3p	PHACTR2	0.42785573
hsa-miR-558	FBN2	0.4278464
hsa-miR-5683	LRIG1	0.42781192
hsa-miR-548d-5p	HOXD13	0.42779672
hsa-miR-3671	CXCL8	0.4277933
hsa-miR-5697	MCL1	0.42775318
hsa-miR-5011-5p	TNFRSF11B	0.42774588
hsa-miR-548ag	EFEMP1	0.42773932
hsa-miR-8084	MSR1	0.42772552
hsa-miR-3675-3p	ANXA1	0.42772204
hsa-miR-155-5p	BOC	0.42770642
hsa-miR-570-3p	NTS	0.42769444
hsa-miR-124-3p	SLCO5A1	0.42768645
hsa-miR-1185-1-3p	DNAJB4	0.42765045
hsa-miR-33a-3p	GJA1	0.42764467
hsa-miR-340-5p	ANGPT2	0.4276347
hsa-miR-6834-5p	CNN3	0.4275735
hsa-miR-518c-5p	DNAJB1	0.42755768
hsa-miR-146b-5p	CCK	0.42755288
hsa-miR-128-3p	RASGEF1B	0.4275492
hsa-miR-12131	THSD7A	0.4275228
hsa-miR-516b-5p	SH3BGR	0.42749092
hsa-miR-6833-3p	PLXNA4	0.42748442
hsa-miR-376b-3p	GRAMD2B	0.42747992
hsa-miR-30d-5p	COL25A1	0.42741355
hsa-miR-1343-3p	GABPB1	0.42740935
hsa-miR-181c-5p	RYR3	0.42740023
hsa-miR-4672	LHFPL3	0.42739698
hsa-miR-302b-5p	DGKH	0.42737412
hsa-miR-6872-3p	PLSCR4	0.42734843
hsa-miR-3144-3p	SATB2	0.42734286
hsa-miR-1178-5p	RASSF8	0.42730868
hsa-miR-302d-5p	BMP2K	0.42728713
hsa-miR-129-5p	PBX3	0.42726204
hsa-miR-7977	KLHL6	0.42723608
hsa-miR-373-3p	PTPRD	0.4272145
hsa-miR-3976	SEMA3F	0.4272112
hsa-miR-6832-3p	SOX4	0.4271885
hsa-miR-548ac	ALK	0.42717344
hsa-miR-4503	ZFHX4	0.42717096
hsa-miR-507	PF4	0.42712668
hsa-miR-944	TRDN	0.42712128
hsa-miR-4680-3p	TSHZ2	0.42710707
hsa-miR-6869-5p	DIO2	0.42710227
hsa-miR-7-2-3p	PAX3	0.42709756
hsa-miR-5696	ZNRF3	0.4270793
hsa-miR-5190	PDE9A	0.4270661
hsa-miR-3666	PHACTR2	0.4270574
hsa-miR-524-5p	TTN	0.42704836
hsa-miR-4761-5p	EPHA7	0.4270447
hsa-miR-4422	SWT1	0.42702913
hsa-miR-6893-5p	VCL	0.42702678
hsa-miR-6815-3p	PLXNA2	0.4270212
hsa-miR-12124	COL4A4	0.42701957
hsa-miR-3664-5p	KCND2	0.42700395
hsa-miR-433-3p	C1QC	0.42698932
hsa-miR-7853-5p	GNG12	0.42697227
hsa-miR-196a-5p	RASSF3	0.42697182
hsa-miR-670-5p	TOX	0.42695817
hsa-miR-1249-5p	SLC9A9	0.42691195
hsa-miR-6129	MSI1	0.42689282
hsa-miR-6838-5p	TMEM100	0.42687637
hsa-miR-7976	GFAP	0.42686328
hsa-miR-493-5p	C1S	0.42684987
hsa-miR-5087	NR2F2	0.42678493
hsa-miR-646	TMEM100	0.42676008
hsa-miR-1305	TRPC3	0.4267397
hsa-miR-3163	ITGBL1	0.42669427
hsa-miR-371b-5p	SLC19A4P	0.42667544
hsa-miR-4672	LTBP1	0.42665374
hsa-miR-548aw	IGF2BP2	0.42664695
hsa-miR-4496	ABCA9	0.42664552
hsa-miR-5195-3p	EBF3	0.42663747
hsa-let-7f-1-3p	LGR4	0.42662567
hsa-miR-196a-3p	PAPSS2	0.42659184
hsa-miR-568	DUSP1	0.4265863
hsa-miR-203a-5p	ANKRD44	0.426575
hsa-miR-8054	SMOC2	0.42655176
hsa-miR-1297	MATR3	0.42654276
hsa-miR-3618	ANTXR2	0.42653328
hsa-let-7a-3p	MAN1A1	0.42652714
hsa-miR-548g-5p	UTS2	0.4265189
hsa-miR-20a-5p	PTHLH	0.42651543
hsa-miR-524-5p	CHODL	0.4265142
hsa-miR-300	GPR34	0.42650086
hsa-miR-4251	BHLHE22	0.4264841
hsa-miR-6892-5p	KLHL6	0.42641932
hsa-miR-1297	PECAM1	0.42640316
hsa-let-7f-2-3p	RBPMS	0.4263212
hsa-miR-374b-5p	MCTP2	0.4262368
hsa-let-7f-5p	SRGAP1	0.4262282
hsa-miR-618	PLSCR4	0.42616048
hsa-miR-5011-5p	F3	0.42615825
hsa-miR-4455	FRZB	0.42614466
hsa-miR-5590-5p	LYVE1	0.42612925
hsa-miR-199b-5p	PLXNA2	0.42611456
hsa-miR-5680	PRLR	0.42603236
hsa-miR-149-5p	APOL4	0.4260245
hsa-miR-125a-5p	ZNRF3	0.42595026
hsa-miR-4251	HS6ST3	0.42594272
hsa-miR-520d-5p	BCOR	0.42591828
hsa-miR-302e	SEMA3C	0.4259173
hsa-miR-1468-3p	PYHIN1	0.42588168
hsa-miR-518c-5p	TSPAN18	0.42584568
hsa-miR-1251-5p	HS6ST3	0.4258309
hsa-miR-513b-3p	GJA1	0.42581642
hsa-miR-6513-3p	NEFH	0.4258031
hsa-miR-5691	SOX6	0.42580202
hsa-miR-518f-5p	PTPN21	0.42579857
hsa-miR-6839-3p	PRLR	0.42577842
hsa-miR-6887-3p	RPL32	0.42576814
hsa-miR-4753-3p	EMX2	0.42576227
hsa-miR-544a	STMN2	0.4257607
hsa-miR-1-3p	GPR85	0.42574048
hsa-miR-6856-5p	LGR6	0.42573878
hsa-miR-3059-5p	ANO6	0.42573866
hsa-miR-548ah-3p	VGLL3	0.42573166
hsa-miR-587	CCN1	0.4256479
hsa-miR-548o-3p	TTN	0.42563945
hsa-miR-337-3p	NTNG1	0.42562848
hsa-miR-4795-3p	NIBAN1	0.42561907
hsa-miR-150-5p	RORB	0.42558953
hsa-miR-548x-5p	F3	0.42556682
hsa-miR-6507-3p	KLHL6	0.42555517
hsa-miR-149-5p	ZBTB2	0.4255272
hsa-miR-331-5p	IGF2BP3	0.4255137
hsa-miR-432-3p	SYT2	0.42550743
hsa-miR-4778-3p	PCDH17	0.42547572
hsa-miR-629-3p	PDGFC	0.42547047
hsa-miR-548aa	RPE65	0.42538002
hsa-miR-6508-5p	CA10	0.42536575
hsa-miR-5088-5p	KCNMB2	0.42531198
hsa-miR-4428	PDGFC	0.42529652
hsa-miR-5703	NKAIN1	0.42528936
hsa-miR-548ar-5p	SIX4	0.4252887
hsa-miR-548x-5p	CDC20B	0.42528492
hsa-miR-758-3p	MTHFD2	0.4252829
hsa-miR-6764-5p	ZBTB2	0.42526314
hsa-miR-4791	DHFR	0.42525357
hsa-miR-4434	SRL	0.42522204
hsa-miR-5692a	BCL2	0.42518622
hsa-miR-4311	COL1A2	0.42517462
hsa-miR-30d-3p	DACH1	0.4251252
hsa-miR-548o-3p	LPP	0.42511737
hsa-miR-9-5p	ITM2C	0.42510915
hsa-miR-513c-3p	SLC7A11	0.4251086
hsa-miR-302a-3p	QRSL1	0.42510173
hsa-miR-4795-3p	PLXNA4	0.42509487
hsa-miR-4306	EPHB2	0.42505455
hsa-miR-520d-5p	FOXO1	0.42505404
hsa-miR-4766-5p	HSPH1	0.42504343
hsa-miR-4689	IL13RA1	0.42503616
hsa-miR-548am-3p	SYTL4	0.42501613
hsa-miR-200a-3p	PDGFRA	0.42494345
hsa-miR-7154-5p	SOX6	0.42493743
hsa-miR-12123	PAX3	0.424917
hsa-miR-548aq-5p	PDZRN4	0.42487672
hsa-miR-6720-5p	TMEM88	0.4248222
hsa-miR-200c-3p	CASZ1	0.42475358
hsa-miR-1255b-2-3p	RND3	0.42471802
hsa-miR-548au-5p	S1PR1	0.42468494
hsa-miR-490-3p	ANKRD44	0.42467457
hsa-miR-200b-3p	EPS8	0.42465827
hsa-miR-7159-3p	LPAR1	0.42460147
hsa-miR-363-5p	IL17RD	0.42458013
hsa-miR-4325	RBM47	0.4245564
hsa-miR-3143	SIX4	0.42449558
hsa-miR-3148	LPAR6	0.42445552
hsa-miR-384	TIMP3	0.42442092
hsa-miR-3689b-5p	PCDH11X	0.42441684
hsa-miR-548am-3p	MDFIC	0.42439795
hsa-miR-3192-3p	SLAMF6	0.4243866
hsa-miR-4426	DHFR	0.42436716
hsa-miR-29b-1-5p	PTGS2	0.4243551
hsa-miR-27b-5p	ZFP36L1	0.42433533
hsa-miR-186-5p	TMTC1	0.42431214
hsa-miR-6882-3p	OSM	0.42424843
hsa-miR-548x-3p	MAFB	0.42423245
hsa-miR-374b-5p	WNT5A	0.4242299
hsa-miR-506-3p	IL6R	0.4242231
hsa-miR-9-3p	RELL1	0.42413327
hsa-miR-9718	IKZF1	0.42410806
hsa-miR-3152-3p	PLXDC2	0.42410612
hsa-miR-6073	CBLB	0.4240241
hsa-miR-2110	CYYR1	0.42401758
hsa-miR-4648	RELN	0.4239967
hsa-miR-522-3p	MPO	0.42397228
hsa-miR-5088-3p	IGFBP5	0.4239719
hsa-miR-6735-5p	FNDC3B	0.4239517
hsa-miR-27a-3p	RSPO3	0.42394215
hsa-miR-3085-3p	CRIM1	0.42384362
hsa-miR-3190-3p	FGF2	0.4238286
hsa-miR-1304-3p	ABCA9	0.4238098
hsa-miR-4640-5p	DBN1	0.42379147
hsa-miR-548y	ADAMTS1	0.4237853
hsa-miR-517b-3p	ZNF521	0.423768
hsa-miR-655-3p	HSPH1	0.42372623
hsa-miR-4709-5p	ZIC5	0.42371783
hsa-miR-4524b-5p	TMEM100	0.4236753
hsa-miR-585-5p	ADAMTS6	0.42367417
hsa-miR-143-3p	SVIL	0.42365792
hsa-miR-548aq-5p	CD99	0.42365107
hsa-miR-6736-3p	NRP1	0.423617
hsa-miR-193b-5p	ZFP36L1	0.42360562
hsa-miR-362-3p	NRP2	0.42358074
hsa-miR-20b-5p	BNC2	0.42357832
hsa-miR-6772-3p	DCX	0.4235703
hsa-miR-5680	PCSK6	0.42354077
hsa-miR-520d-5p	TAL1	0.42351264
hsa-miR-606	GPR34	0.42348146
hsa-miR-2682-5p	HTR2C	0.42347947
hsa-miR-7856-5p	PCSK6	0.42343926
hsa-miR-6814-5p	NHERF2	0.42343295
hsa-miR-1293	PALLD	0.42339328
hsa-miR-593-5p	IL17RD	0.42339307
hsa-miR-548e-5p	SLC16A1	0.4233531
hsa-miR-29c-3p	SPARC	0.42334327
hsa-miR-5680	EPB41L4A	0.4233256
hsa-miR-7161-5p	NR4A3	0.42328984
hsa-miR-4524a-3p	LPL	0.42319933
hsa-miR-4666a-3p	MCTP2	0.42319053
hsa-miR-32-5p	PCDH11Y	0.42318395
hsa-miR-526a-5p	LCP1	0.42316926
hsa-miR-190a-3p	SATB2	0.42310703
hsa-miR-518a-5p	RBKS	0.42310488
hsa-miR-550a-5p	DERA	0.4230454
hsa-miR-4666a-3p	HHIP	0.42299712
hsa-miR-4670-3p	MSR1	0.42298478
hsa-miR-378f	ZNF124	0.42297852
hsa-miR-3150a-3p	NEUROD2	0.4228555
hsa-miR-186-5p	CGNL1	0.42283174
hsa-miR-107	MARCHF3	0.42281854
hsa-miR-379-3p	HSPA4L	0.4227529
hsa-let-7g-3p	RFX4	0.42273164
hsa-miR-4659b-3p	DNAJB4	0.42271525
hsa-miR-4326	KIF26B	0.4227137
hsa-miR-4324	DOCK11	0.42271268
hsa-miR-670-3p	ID1	0.42270535
hsa-miR-490-3p	RNF144B	0.42270008
hsa-miR-2682-5p	RHOH	0.42264172
hsa-miR-568	MAP3K7CL	0.42263293
hsa-miR-27b-3p	SRL	0.4226321
hsa-miR-2113	KLHL29	0.42256856
hsa-miR-451b	BACH2	0.42256498
hsa-miR-98-3p	F3	0.4225459
hsa-miR-4438	ADAMTS6	0.42252114
hsa-miR-12125	SAMD4A	0.42250803
hsa-miR-4420	SLC1A2	0.4224726
hsa-miR-3935	BID	0.42247093
hsa-miR-218-5p	KLHL13	0.42245102
hsa-miR-147b-5p	PFN2	0.42241076
hsa-miR-497-5p	RELN	0.42240345
hsa-miR-4709-5p	HSPH1	0.4223975
hsa-miR-4267	LGR4	0.42239156
hsa-miR-152-3p	ADCY2	0.42237315
hsa-miR-4645-5p	NXPH1	0.42237213
hsa-miR-181b-2-3p	MATR3	0.4223266
hsa-miR-2110	LUZP2	0.42232403
hsa-miR-6505-5p	ANO6	0.4223231
hsa-miR-495-3p	FNDC1	0.42231566
hsa-miR-3129-5p	EBF1	0.42230934
hsa-miR-519d-3p	FNDC3B	0.42229643
hsa-miR-5692a	ENTPD1	0.42227212
hsa-miR-3120-3p	PDPN	0.42226583
hsa-miR-7843-3p	TTN	0.422247
hsa-miR-423-5p	EVC	0.42221883
hsa-miR-3148	STK17B	0.42219698
hsa-miR-5002-5p	STC1	0.4221931
hsa-miR-4329	SDC2	0.422191
hsa-miR-2113	NOTCH2	0.4221073
hsa-miR-7110-3p	BNC2	0.4220924
hsa-miR-548aq-3p	SLCO5A1	0.42208144
hsa-miR-6719-3p	SELE	0.42205927
hsa-let-7b-3p	HES1	0.42201328
hsa-miR-10394-5p	DNAJB1	0.42199975
hsa-miR-300	ZSWIM4	0.42194095
hsa-miR-7157-3p	PCDH17	0.42193678
hsa-miR-10399-5p	NAMPT	0.42191404
hsa-miR-4768-5p	PLXNA2	0.42189473
hsa-miR-4769-5p	ACAN	0.4218584
hsa-miR-6127	POU2AF1	0.42183122
hsa-miR-30c-1-3p	SLC16A1	0.42182332
hsa-miR-4709-5p	ZNF124	0.4218188
hsa-miR-4482-3p	CHRNA5	0.42181683
hsa-miR-29c-3p	FREM2	0.4218118
hsa-miR-340-5p	DCN	0.4217977
hsa-miR-497-5p	IGF2R	0.42178315
hsa-miR-1200	SLCO2B1	0.4217697
hsa-miR-8087	IFNK	0.42174986
hsa-miR-3666	CD69	0.42172122
hsa-miR-4731-3p	SAMSN1	0.42170608
hsa-miR-2052	EYS	0.4216892
hsa-miR-4753-3p	CNR1	0.4216581
hsa-miR-584-3p	EFEMP1	0.4216376
hsa-miR-3689e	MYH11	0.4216127
hsa-miR-4738-3p	SOX11	0.42157784
hsa-miR-520d-5p	HSPA1B	0.42153835
hsa-miR-4778-3p	PCDH15	0.42153493
hsa-miR-548e-5p	YAP1	0.42144758
hsa-miR-297	ABCC4	0.42144084
hsa-miR-3123	FABP2	0.42135718
hsa-miR-519a-2-5p	SRPX	0.42134202
hsa-miR-6892-3p	NXPH1	0.4213324
hsa-miR-340-5p	CYP26B1	0.42132163
hsa-miR-374c-5p	GPC6	0.42130408
hsa-miR-146b-3p	PRRX1	0.42129108
hsa-miR-18a-5p	MAPK4	0.42128694
hsa-miR-6868-3p	ERBB4	0.42126527
hsa-miR-363-3p	NOX4	0.42125934
hsa-miR-519e-5p	RANBP3L	0.42122117
hsa-miR-6760-3p	SDC3	0.42120937
hsa-miR-770-5p	CABLES1	0.42119014
hsa-miR-7111-5p	MEX3A	0.42118686
hsa-miR-3659	REL	0.4211403
hsa-miR-1227-5p	CX3CR1	0.42112577
hsa-miR-5582-3p	IGF2BP3	0.42110455
hsa-miR-128-3p	MEGF11	0.4210972
hsa-miR-27a-3p	AKIRIN2	0.42106524
hsa-miR-497-3p	RELL1	0.42105332
hsa-miR-518e-5p	FLI1	0.42104402
hsa-miR-328-3p	RBFOX1	0.42104292
hsa-miR-548ar-5p	PDZRN4	0.42104104
hsa-miR-302e	SOWAHC	0.4210307
hsa-miR-5688	BACH2	0.4210288
hsa-miR-548an	EPS8	0.42102063
hsa-miR-548ba	TP63	0.42093334
hsa-miR-33a-3p	PLA2G4A	0.42090845
hsa-miR-374a-5p	CCL8	0.4208753
hsa-miR-144-3p	EBF1	0.4208729
hsa-miR-4789-3p	GBP5	0.42086923
hsa-miR-34b-5p	TMEM19	0.42085367
hsa-miR-488-3p	NOTCH2	0.420843
hsa-miR-30c-2-3p	DAB2	0.42083967
hsa-miR-6754-3p	BNC2	0.42083448
hsa-miR-125a-5p	TNFAIP3	0.42081624
hsa-miR-8485	GJA5	0.42081487
hsa-miR-509-5p	CDC14A	0.42080513
hsa-miR-6516-5p	CX3CR1	0.4207379
hsa-miR-17-5p	KPNA2	0.4207242
hsa-miR-6755-5p	CD86	0.42071486
hsa-miR-3670	KLHL6	0.42065823
hsa-miR-30b-5p	TOX	0.42063552
hsa-miR-208a-5p	PLAC9	0.42059538
hsa-miR-3142	PIP5K1B	0.4205638
hsa-miR-5190	TENM3	0.42050934
hsa-miR-513a-5p	PRKG2	0.4204698
hsa-miR-6809-3p	UNC5D	0.4204424
hsa-miR-4282	COL19A1	0.42044088
hsa-miR-587	LPP	0.4204372
hsa-miR-548e-5p	VCL	0.42039707
hsa-miR-6736-3p	MAP2K3	0.4203695
hsa-miR-6133	MSI1	0.42036682
hsa-miR-103a-2-5p	LILRB3	0.42035863
hsa-miR-548aa	JARID2	0.42032966
hsa-miR-548x-5p	HMGA2	0.42032132
hsa-miR-26b-5p	RCN1	0.42031366
hsa-miR-3121-5p	TLR3	0.42027962
hsa-miR-4678	COL27A1	0.4202515
hsa-miR-3121-3p	CCK	0.42022917
hsa-miR-3692-3p	PTPRZ1	0.42022514
hsa-miR-6728-5p	ADIRF	0.42019153
hsa-miR-8061	PTPN21	0.4201776
hsa-miR-6756-5p	ANKRD13B	0.42015857
hsa-miR-4729	IL1B	0.4200991
hsa-miR-4744	DGKH	0.42008448
hsa-miR-1250-3p	YBX3	0.420026
hsa-miR-513a-3p	HTR2C	0.4200256
hsa-miR-548x-5p	DPP10	0.41999248
hsa-miR-7110-5p	DLK1	0.41999143
hsa-miR-4731-3p	CXCR4	0.41998258
hsa-miR-607	NIBAN1	0.41998008
hsa-miR-548ao-5p	TOX	0.41993463
hsa-miR-27b-3p	NRP2	0.41989136
hsa-miR-4533	DCX	0.41986278
hsa-miR-6739-5p	TBX15	0.41984862
hsa-miR-4672	RFX4	0.41984186
hsa-miR-4659a-3p	HPSE2	0.41983747
hsa-miR-4753-3p	HEG1	0.41979906
hsa-miR-633	MSR1	0.41976845
hsa-miR-139-5p	FBN2	0.4197169
hsa-miR-520e-5p	MYO16	0.41970983
hsa-miR-5010-5p	NCAN	0.41969612
hsa-miR-4427	HS3ST5	0.4196743
hsa-miR-3202	APBB1IP	0.41958237
hsa-miR-548ar-5p	MDFIC	0.4195393
hsa-miR-6842-5p	TMEM51	0.4195147
hsa-miR-6721-5p	MLC1	0.4195007
hsa-miR-551b-5p	PLIN1	0.41946554
hsa-miR-637	RFX4	0.41945985
hsa-miR-548y	UGT8	0.41945696
hsa-miR-7154-5p	SCN9A	0.4194486
hsa-miR-4724-5p	TRPM3	0.41944554
hsa-miR-7152-5p	SLC7A11	0.41937092
hsa-miR-548ae-5p	HOXD13	0.4193698
hsa-miR-548f-5p	LRP8	0.41936272
hsa-miR-196a-1-3p	FGF13	0.41929388
hsa-miR-944	DGKH	0.41926646
hsa-miR-6883-3p	CHRM2	0.4192471
hsa-miR-199a-3p	MS4A7	0.4192062
hsa-miR-1269b	FOXO1	0.41916698
hsa-miR-4447	PRLR	0.41914505
hsa-miR-27a-3p	SOX11	0.41912016
hsa-miR-374c-5p	HSPH1	0.41911656
hsa-miR-5692a	SNTB1	0.4190117
hsa-miR-4294	TNFRSF11B	0.41900653
hsa-miR-182-5p	ANKRD44	0.41896483
hsa-miR-548e-5p	CTTNBP2NL	0.41895765
hsa-miR-629-3p	DERA	0.41895002
hsa-miR-4517	DACH1	0.41890082
hsa-miR-520b-5p	GATA2	0.4188952
hsa-miR-15a-5p	HSPA4L	0.41881594
hsa-miR-371b-5p	PRELID2	0.41881266
hsa-miR-4728-5p	RPL32	0.41879016
hsa-miR-96-5p	ARHGAP6	0.41878378
hsa-miR-6133	CHRDL1	0.41877174
hsa-miR-126-5p	ADCYAP1	0.4187603
hsa-miR-4306	SH3BP2	0.41872728
hsa-miR-6505-5p	DCC	0.41868967
hsa-miR-3065-5p	FOXF2	0.4186451
hsa-miR-4516	CCBE1	0.41863918
hsa-miR-130b-3p	PHACTR2	0.4186234
hsa-miR-12136	FSTL5	0.41861886
hsa-miR-27b-3p	GNG12	0.41858068
hsa-miR-520a-5p	BACE2	0.4185791
hsa-miR-181b-3p	F2R	0.41855437
hsa-miR-4524a-5p	ZNRF3	0.41854566
hsa-miR-570-3p	DCC	0.41849756
hsa-miR-200b-3p	FOXF1	0.41842353
hsa-miR-1299	ELOVL7	0.4184205
hsa-miR-516b-3p	XBP1	0.41841358
hsa-miR-4789-5p	SEMA3C	0.41836214
hsa-miR-129-5p	RBFOX1	0.41832745
hsa-miR-4795-3p	TMEM100	0.4183256
hsa-miR-1294	COL4A1	0.41829157
hsa-miR-510-3p	SLC4A4	0.41828907
hsa-miR-9983-3p	UNC5D	0.41826403
hsa-miR-1305	ATP11C	0.4182199
hsa-miR-6809-3p	BNC2	0.41821206
hsa-miR-520b-3p	CYBB	0.4181913
hsa-miR-195-5p	EPHA7	0.4181576
hsa-miR-4291	SIX4	0.41805482
hsa-miR-4482-3p	KLRC2	0.41801593
hsa-miR-6864-5p	TBX15	0.41794774
hsa-miR-4742-3p	SLC2A1	0.4179038
hsa-miR-3139	EN2	0.41788107
hsa-miR-1248	CHRM2	0.41785118
hsa-miR-511-3p	MDFIC	0.41785076
hsa-miR-5692b	LPAR1	0.41784084
hsa-miR-4311	SPARC	0.41779256
hsa-miR-1912-3p	DPP10	0.417747
hsa-miR-3148	NFATC2	0.417725
hsa-miR-486-5p	OLFM4	0.41771647
hsa-miR-548o-5p	SLC24A3	0.417715
hsa-miR-654-3p	COLEC12	0.41770422
hsa-miR-4755-5p	CCND1	0.4176923
hsa-miR-1286	PCDH17	0.4176809
hsa-miR-513a-5p	KLF6	0.417669
hsa-miR-200a-3p	VCAN	0.41765296
hsa-miR-3622b-3p	GNB4	0.41764465
hsa-miR-548ao-5p	EGFR	0.417635
hsa-miR-4633-3p	CD247	0.41762483
hsa-miR-124-5p	VCL	0.4176086
hsa-miR-593-3p	KIAA1217	0.41760388
hsa-miR-4778-3p	HBEGF	0.41758093
hsa-miR-4999-5p	PDGFRB	0.41756704
hsa-let-7g-5p	SLC5A6	0.4175348
hsa-let-7b-3p	GATA3	0.41752523
hsa-miR-200c-3p	HS3ST3A1	0.41751975
hsa-miR-571	RASSF8	0.41747162
hsa-miR-29b-3p	ETV6	0.41746742
hsa-miR-302e	FAT4	0.41745383
hsa-miR-29b-3p	KIF26B	0.41742575
hsa-miR-4729	TP63	0.4173695
hsa-miR-548aa	ROBO1	0.41735446
hsa-miR-548y	S1PR1	0.41732547
hsa-miR-22-5p	AKAP12	0.41726902
hsa-miR-4699-3p	SAMSN1	0.417258
hsa-miR-3689e	CDC14A	0.41722462
hsa-miR-548ak	GULP1	0.41718146
hsa-miR-4266	TREML1	0.41712055
hsa-miR-7111-5p	THRSP	0.4171185
hsa-miR-374c-3p	SLC9A9	0.4170877
hsa-miR-1277-5p	DOCK8	0.4170619
hsa-miR-4795-3p	PHACTR2	0.41704664
hsa-miR-302a-3p	FSTL5	0.41704324
hsa-miR-4434	NHSL1	0.4170403
hsa-miR-548bb-5p	GULP1	0.41702434
hsa-miR-9902	ADAM12	0.4170191
hsa-miR-3129-5p	RBM47	0.417018
hsa-miR-6884-5p	EPB41L4A	0.41700664
hsa-miR-550a-3p	PHACTR2	0.41700178
hsa-miR-25-3p	ZNF385D	0.41698825
hsa-miR-449b-5p	XBP1	0.41697845
hsa-miR-1263	TLE3	0.4169441
hsa-miR-6809-3p	ITPKB	0.416894
hsa-miR-4699-3p	NEFL	0.41688946
hsa-miR-6798-5p	MGP	0.41685092
hsa-miR-3916	PRDM1	0.41683984
hsa-miR-506-3p	UNC5D	0.41683468
hsa-miR-1913	THSD7B	0.41682583
hsa-miR-3606-5p	STX11	0.4168061
hsa-miR-8056	CHRNA5	0.41677797
hsa-miR-548c-3p	MAP3K7CL	0.41676807
hsa-miR-548h-3p	TLL1	0.4167188
hsa-miR-4503	TSHZ2	0.4166601
hsa-miR-10399-5p	NR4A2	0.41663983
hsa-miR-6773-5p	GNG12	0.41660845
hsa-miR-6788-5p	PYGO1	0.41658416
hsa-miR-7702	NEFL	0.41655368
hsa-miR-6853-3p	CRISPLD2	0.41651627
hsa-miR-4772-5p	FOS	0.4165075
hsa-miR-1263	ST8SIA4	0.4164802
hsa-miR-95-5p	MAFF	0.41645852
hsa-miR-548ar-5p	PCDH11X	0.41645747
hsa-miR-5582-3p	ADCY2	0.4164545
hsa-miR-6129	MPIG6B	0.41644615
hsa-miR-4654	ROBO2	0.41643605
hsa-miR-3689e	ADGRL4	0.41642654
hsa-miR-766-3p	POU2AF1	0.4163843
hsa-miR-4799-5p	LPP	0.4163833
hsa-miR-4317	ATP11C	0.41637143
hsa-miR-548x-5p	SFRP2	0.41637057
hsa-miR-377-3p	FNBP1L	0.41636992
hsa-miR-5195-3p	YES1	0.41635802
hsa-miR-4755-5p	JARID2	0.4163442
hsa-miR-3163	TRDN	0.41634256
hsa-miR-6726-5p	MYCT1	0.4162524
hsa-miR-548o-5p	BEND7	0.41623133
hsa-miR-450b-5p	PABPC3	0.4162198
hsa-miR-196a-1-3p	IL6	0.4161944
hsa-miR-4310	EPHA7	0.41617945
hsa-miR-497-3p	KLF4	0.41616645
