mirna	target_gene	score
hsa-miR-647	ABCC9	0.9400865
hsa-miR-19a-5p	RBMS3	0.94002247
hsa-miR-548d-5p	THSD7A	0.9399304
hsa-miR-8065	SLC6A5	0.93980116
hsa-miR-5093	MPZ	0.93977803
hsa-miR-4272	IQGAP2	0.93976486
hsa-miR-548ap-3p	JARID2	0.9397327
hsa-miR-181b-5p	CCL8	0.9396691
hsa-miR-548aj-3p	TFPI2	0.93948513
hsa-miR-23a-3p	TOX	0.93948025
hsa-miR-3161	SCN9A	0.9394666
hsa-miR-1284	FNDC3B	0.9393796
hsa-miR-19a-5p	PALLD	0.93935066
hsa-miR-23c	COL4A1	0.9392357
hsa-miR-23c	DPP10	0.93918693
hsa-miR-548ae-3p	CCL3L3	0.9389637
hsa-miR-548x-3p	COL1A1	0.9389228
hsa-miR-7154-3p	SHISA6	0.9388909
hsa-miR-3662	IGDCC4	0.938844
hsa-miR-548ae-3p	THSD7B	0.9388279
hsa-miR-23a-3p	BACH2	0.9388183
hsa-miR-6785-5p	MYO10	0.9386558
hsa-miR-548as-3p	ARHGAP29	0.93862134
hsa-let-7f-5p	EDN1	0.938612
hsa-miR-7106-5p	KCNIP1	0.93855673
hsa-miR-23a-3p	LPP	0.93852156
hsa-miR-548aq-3p	THSD7B	0.9384773
hsa-miR-590-3p	ITGA8	0.9384605
hsa-miR-548h-5p	TMTC1	0.938327
hsa-miR-5582-5p	NR4A2	0.93830204
hsa-miR-6785-5p	POU2AF1	0.93824357
hsa-miR-6512-5p	DOCK11	0.9382071
hsa-miR-1277-5p	ZNF516	0.9381883
hsa-miR-23a-3p	CXCL12	0.9381522
hsa-miR-4495	PAWR	0.93812156
hsa-miR-548j-3p	SCG2	0.93796724
hsa-miR-548aj-3p	WNT5A	0.93790615
hsa-miR-23a-3p	USP53	0.9379053
hsa-miR-4699-3p	IGFBP3	0.93790007
hsa-miR-548ae-5p	TMTC1	0.9375859
hsa-miR-548c-3p	MAMDC2	0.9375818
hsa-miR-29a-3p	COL4A6	0.9375751
hsa-miR-548j-5p	FNDC3B	0.93750197
hsa-miR-4423-3p	ADRA2A	0.93741196
hsa-miR-23c	STON2	0.937386
hsa-miR-6875-3p	PLXDC2	0.9372387
hsa-miR-4262	DISC1	0.937206
hsa-miR-548h-5p	JARID2	0.93719274
hsa-miR-548ae-5p	DDIT4	0.93715674
hsa-miR-4463	LOXL2	0.9371523
hsa-miR-548a-3p	PDE7B	0.93713194
hsa-miR-548aj-3p	SCN9A	0.93688
