mirna	Astrocyte	B_cell	CD4_T	CD8_T	Microglia	Monocyte	NK_cell	Oligodendrocyte	T_cell	Th17	Treg
hsa-miR-6825-3p	3.311192813271191e-07	4.531008812591608e-07	5.049377591603843e-07	9.061872674465121e-07	8.727758995519252e-07	3.1920978926791577e-07	5.270979954730137e-07	5.893559773539891e-07	5.463731440613628e-07	6.818855240453559e-07	6.340787876979448e-07
hsa-miR-6825-5p	7.934831955935806e-05	1.459624218114186e-05	6.263802060857415e-05	8.886814612196758e-05	9.973917622119188e-05	3.448138159001246e-05	8.861082460498437e-05	3.597906470531598e-05	3.89424167224206e-05	4.832253762288019e-05	4.604728746926412e-05
hsa-miR-6826-3p	1.3435239054615522e-07	2.2804297827860864e-07	7.779186717016273e-07	4.1912909409802523e-07	2.869015816031606e-07	4.7589662699465407e-07	6.307057560661633e-07	2.408285695310042e-07	5.3387782372738e-07	6.729593451382243e-07	5.10050824686914e-07
hsa-miR-6826-5p	8.627320494269952e-05	0.00020155799575150013	0.0002429760352242738	0.0003403385344427079	0.00011352388537488878	0.00010337852290831506	8.967844041762874e-05	0.00012127513036830351	9.063102334039286e-05	3.5075103369308636e-05	0.0001765165652614087
hsa-miR-6827-3p	2.6744362457975512e-06	3.594092049752362e-06	4.108606390218483e-06	1.5113841982383747e-05	8.526338206138462e-06	4.832083050132496e-06	4.466689460969064e-06	4.354957127361558e-06	3.8172388485691044e-06	5.545566182263428e-06	2.2357908164849505e-06
hsa-miR-6827-5p	1.4737515812157653e-05	1.3160573871573433e-05	3.649402060545981e-05	2.962604230560828e-05	2.5221075702575035e-05	1.3509550626622513e-05	2.221595605078619e-05	9.757064617588185e-06	3.0946030165068805e-05	2.8232723707333207e-05	3.099791501881555e-05
hsa-miR-6828-3p	1.712698917799571e-06	2.411517925793305e-06	6.462128112616483e-06	1.154383539869741e-06	2.242602022306528e-06	1.5576538316963706e-06	1.9114129372610478e-06	3.7465324567165226e-06	2.302468601556029e-06	2.795637783492566e-06	2.7519731702341232e-06
hsa-miR-6828-5p	1.3195217434258666e-05	2.0968122043996118e-05	1.2715750926872715e-05	4.0599144995212555e-05	4.156228533247486e-05	9.455708095629234e-06	1.238238655787427e-05	2.029523420787882e-05	1.2341671208560001e-05	1.9787647033808753e-05	4.665986853069626e-05
hsa-miR-6829-3p	7.329106301767752e-05	3.334083885420114e-05	6.775976362405345e-05	8.769755368120968e-05	0.00016258721007034183	6.669451977359131e-05	7.941409421619028e-05	4.811700637219474e-05	0.00013136042980477214	0.00011580426507862285	6.389608461176977e-05
hsa-miR-6829-5p	2.386397227382986e-06	1.056747350958176e-06	1.4686772829008987e-06	2.874388428608654e-06	4.262438778823707e-06	3.936327630071901e-06	2.1087989807710983e-06	1.6747796962590655e-06	2.9524314868467627e-06	2.9272757728904253e-06	2.386338792348397e-06
